Creating Table
-- START --
Number block: 23121681
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 9240000 to 9245000: 21
Add Transfer with (transactionHash - logIndex): (0x27396ee3ec13886e3bc02b644cec1e1539a98f8bd4993bdb6f8825bdc06a516e - 367
Add Transfer with (transactionHash - logIndex): (0xd6c1ee63235475ac53714b573268e9a1ebd3369ca9d8ef569d984e17c330bab9 - 455
Add Transfer with (transactionHash - logIndex): (0x67fee203de20dc38f21689fd6b0934c3809b8df83e2bde8bacf9a81f150589b4 - 239
Add Transfer with (transactionHash - logIndex): (0x02a77617c7354e254423772f3fb242ef009640dc8d98f7da91a091940f04f200 - 492
Add Transfer with (transactionHash - logIndex): (0xfec9ccc0194706a797ebd3fb83007d8139a89256111b974236b95966a4dadeb0 - 342
Add Transfer with (transactionHash - logIndex): (0x1703c9fe23e4110ede00d740f87baf367518d577c4516b455a613e742f043b00 - 328
Add Transfer with (transactionHash - logIndex): (0x21e2cac917b8183c6e6ad8697cc6d68e19a087c7a1259b2dbc549165e4452b90 - 166
Add Transfer with (transactionHash - logIndex): (0x2c56b99320566d13607a242384ec2d7c83735ac4c08bdeeb8f0f754d1623b887 - 123
Add Transfer with (transactionHash - logIndex): (0x5bf167060a5b9e509fb6cdb21816f9e5377a4b28d444d24b158f732d2733ead4 - 519
Add Transfer with (transactionHash - logIndex): (0xbbd8755452b44675ba0c80f4e087cdb64f99f97d454edc13840067fc97e382cb - 337
Add Transfer with (transactionHash - logIndex): (0x141839c914f5abf1b1dd9b8ae0136bbbbdf71e532bc0f4a8171536cfee20ac96 - 219
Add Transfer with (transactionHash - logIndex): (0xc08786ee8b0e2050f6e3d47f5b86bdb9620dc964201af49d04d0cb2edbb3c5e5 - 356
Add Transfer with (transactionHash - logIndex): (0x93ac2496f49f7dc916a4da8ca373cf31bf6d96f933bb388565fc05ab24fe706c - 74
Add Transfer with (transactionHash - logIndex): (0xb751c1ba3c4473948e4ddcc88eb682999f111d8b8c368182791be4dea17a7734 - 396
